Rank,Attribute,Average R-squared
01,NCD_6,0.913208484499559
02,NAD_6,0.91314728005867
03,NAC_6,0.9063610415472846
04,NCD_5,0.8452112739381274
05,NAD_5,0.8451499255228775
06,NAC_5,0.8386987922309175
07,NA_6,0.8211578207339306
08,NCD_1,0.7927501514437209
09,NAD_1,0.7925047859571501
10,NCD_4,0.7875887034961717
