Rank,Attribute,Average Accuracy
01,NA_5,4.911497863558406e-06
02,NA_6,9.532278406440865e-07
03,NA_4,4.755773647343836e-07
04,NAC_2,4.1294041347252845e-07
05,NCD_3,3.6969236588519647e-07
06,NAD_3,3.6962945814168204e-07
07,NCD_6,3.50723210583076e-07
08,NAD_6,3.4539906509710524e-07
09,NAC_3,3.280092305363496e-07
10,NCD_5,2.927384111528735e-07
